tab	ages
age	location	site	sample	specimen	age_unit	citations	method_codes
1091.83	Beaver Bay Complex				Ma	This study	GM-UPB-I-206
>>>>>>>>>>
tab	locations
location	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Beaver Bay Complex	Ma	47.2	47.2	268.7	268.6	Igneous:Intrusive	Anorthosite:Diabase	Outcrop	Yiming Zhang	This study
Beaver Bay Complex	Ma	47.2	47.2	268.7	268.6	Igneous:Intrusive	Anorthosite:Diabase	Outcrop	Yiming Zhang	This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-942	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.8	206.7	30.9	0	0	0	-90	40	839	This study	hargrave 2020-01-26 18:30:12	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4751	u	4	273	Yiming Zhang		3.9e-08	4.48e-10	2.2e-10	3.7400000000000005e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-943	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.4	190.4	-84.1	0	2.9999999999999997e-05	0	-90	41	835	This study	hargrave 2020-01-27 11:51:21	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4752	u	4	273	Yiming Zhang		2.1100000000000002e-07	1.13e-09	1.01e-09	2.71e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-944	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.5	173.9	-85.5	0	2.9999999999999997e-05	0	-90	42	839	This study	hargrave 2020-01-27 15:38:49	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4753	u	4	273	Yiming Zhang		2.3399999999999998e-07	1.4199999999999999e-09	1.3400000000000001e-09	3.29e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-945	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.4	212.7	-89.4	0	2.9999999999999997e-05	0	-90	43	843	This study	hargrave 2020-01-28 11:57:04	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4754	u	4	273	Yiming Zhang		2.79e-07	1.4300000000000002e-09	1.4699999999999999e-09	5.01e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-946	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	1.2	201.0	3.8	0	0	0	-90	44	843	This study	hargrave 2020-01-28 17:54:02	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4755	u	4	273	Yiming Zhang		1.26e-08	3.3500000000000003e-10	1.4500000000000002e-10	8.22e-11
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-947	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	1.1	197.8	13.6	0	0	0	-90	45	848	This study	hargrave 2020-01-29 11:25:16	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4756	u	4	273	Yiming Zhang		1.1299999999999999e-08	2.7799999999999997e-10	1.31e-10	9.08e-11
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-948	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.4	83.4	-86.1	0	2.9999999999999997e-05	0	-90	46	839	This study	hargrave 2020-01-29 15:15:45	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4757	u	4	273	Yiming Zhang		3.0399999999999997e-07	1.2800000000000001e-09	1.61e-09	9.75e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-949	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.5	31.3	-86.7	0	2.9999999999999997e-05	0	-90	47	848	This study	hargrave 2020-01-30 11:53:19	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4758	u	4	273	Yiming Zhang		3.2e-07	1.7699999999999999e-09	1.79e-09	6.05e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-950	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.4	274.1	-88.7	0	2.9999999999999997e-05	0	-90	48	853	This study	hargrave 2020-01-30 15:45:04	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4759	u	4	273	Yiming Zhang		3.37e-07	1.75e-09	1.79e-09	6.63e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-951	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	1.3	208.3	-10.8	0	0	0	-90	49	853	This study	hargrave 2020-01-31 11:24:04	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4760	u	4	273	Yiming Zhang		8.93e-09	2.42e-10	7.379999999999999e-11	6.22e-11
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-952	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	1.3	202.1	-6.3	0	0	0	-90	50	858	This study	hargrave 2020-01-31 14:59:40	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4761	u	4	273	Yiming Zhang		7.65e-09	2.24e-10	8.449999999999999e-11	6.640000000000001e-11
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-953	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.4	7.7	-89	0	2.9999999999999997e-05	0	-90	51	848	This study	hargrave 2020-01-31 18:57:08	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4762	u	4	273	Yiming Zhang		3.6200000000000004e-07	1.7000000000000001e-09	2.0100000000000003e-09	6.51e-10
AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-954	AX12-7a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-7a	0.4	103.5	-87	0	2.9999999999999997e-05	0	-90	52	858	This study	hargrave 2020-02-01 13:50:41	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4763	u	4	273	Yiming Zhang		3.75e-07	1.6e-09	1.7800000000000005e-09	4.900000000000001e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-955	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	230.4	73.1	0	0	0	-90	0	273	This study	hargrave 2020-10-12 15:12:57	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4764	u	4	273	Yiming Zhang		4.970000000000001e-07	1.8100000000000002e-09	2.43e-09	1.1699999999999999e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-956	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	232.0	73.2	0	0	0	-90	1	373	This study	hargrave 2020-10-14 10:34:36	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4765	u	4	273	Yiming Zhang		4.970000000000001e-07	2.1600000000000004e-09	2.6300000000000002e-09	1.1699999999999999e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-957	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	233.3	73.4	0	2.9999999999999997e-05	0	-90	2	373	This study	hargrave 2020-10-14 15:53:47	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4766	u	4	273	Yiming Zhang		4.9e-07	2.09e-09	2.49e-09	1.19e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-958	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	234.8	73.6	0	2.9999999999999997e-05	0	-90	3	473	This study	hargrave 2020-10-15 10:42:04	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4767	u	4	273	Yiming Zhang		4.82e-07	1.7399999999999996e-09	1.9699999999999996e-09	1.18e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-959	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	231.6	73.7	0	0	0	-90	4	473	This study	hargrave 2020-10-15 13:48:31	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4768	u	4	273	Yiming Zhang		4.82e-07	1.5e-09	2.41e-09	1.18e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-960	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	234.7	73.9	0	0	0	-90	5	573	This study	hargrave 2020-10-15 16:27:26	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4769	u	4	273	Yiming Zhang		4.77e-07	1.3400000000000001e-09	2.07e-09	1.23e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-961	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	235.6	73.9	0	2.9999999999999997e-05	0	-90	6	373	This study	hargrave 2020-10-16 12:40:25	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4770	u	4	273	Yiming Zhang		4.7200000000000004e-07	1.4400000000000002e-09	2.12e-09	1.27e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-962	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.5	231.5	73.9	0	2.9999999999999997e-05	0	-90	7	573	This study	hargrave 2020-10-18 13:14:58	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4771	u	4	273	Yiming Zhang		4.6399999999999997e-07	2.23e-09	2.6899999999999996e-09	1.6e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-963	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	236.6	73.7	0	2.9999999999999997e-05	0	-90	8	673	This study	hargrave 2020-10-18 16:51:07	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4772	u	4	273	Yiming Zhang		4.44e-07	1.7000000000000001e-09	2.58e-09	1.3e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-964	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	235.5	73.7	0	0	0	-90	9	673	This study	hargrave 2020-10-19 10:59:51	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4773	u	4	273	Yiming Zhang		4.44e-07	1.5299999999999999e-09	2.8100000000000004e-09	1.31e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-965	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.5	235.7	73.7	0	0	0	-90	10	723	This study	hargrave 2020-10-19 13:57:17	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4774	u	4	273	Yiming Zhang		4.34e-07	1.6399999999999995e-09	2.8800000000000004e-09	1.4800000000000005e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-966	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.5	235.9	73.7	0	2.9999999999999997e-05	0	-90	11	573	This study	hargrave 2020-10-19 17:48:12	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4775	u	4	273	Yiming Zhang		4.3e-07	1.8e-09	2.7699999999999997e-09	1.4300000000000002e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-967	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	234.5	73.4	0	2.9999999999999997e-05	0	-90	12	723	This study	hargrave 2020-10-20 10:27:11	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4776	u	4	273	Yiming Zhang		4.21e-07	1.6899999999999995e-09	2.57e-09	1.24e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-968	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	235.5	73.1	0	2.9999999999999997e-05	0	-90	13	748	This study	hargrave 2020-10-20 14:38:03	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4777	u	4	273	Yiming Zhang		4.0899999999999997e-07	1.7000000000000001e-09	2.22e-09	1.27e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-969	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	238.5	73.5	0	0	0	-90	14	748	This study	hargrave 2020-10-21 10:31:13	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4778	u	4	273	Yiming Zhang		4.1299999999999995e-07	1.55e-09	1.9699999999999996e-09	1.25e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-970	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	239.0	73.4	0	0	0	-90	15	773	This study	hargrave 2020-10-21 14:57:30	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4779	u	4	273	Yiming Zhang		4.0799999999999995e-07	1.55e-09	1.9600000000000003e-09	1.3300000000000002e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-971	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	238.9	73.2	0	2.9999999999999997e-05	0	-90	16	723	This study	hargrave 2020-10-22 09:58:08	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4780	u	4	273	Yiming Zhang		4.01e-07	1.7000000000000001e-09	1.9e-09	1.2800000000000001e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-972	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	238.5	72.9	0	2.9999999999999997e-05	0	-90	17	773	This study	hargrave 2020-10-22 13:44:37	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4781	u	4	273	Yiming Zhang		3.93e-07	1.59e-09	1.8e-09	1.18e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-973	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	234.4	72.8	0	2.9999999999999997e-05	0	-90	18	783	This study	hargrave 2020-10-22 17:27:43	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4782	u	4	273	Yiming Zhang		3.87e-07	1.6699999999999998e-09	2.12e-09	1.1699999999999999e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-974	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	236.4	73.3	0	0	0	-90	19	783	This study	hargrave 2020-10-23 12:01:14	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4783	u	4	273	Yiming Zhang		3.9e-07	1.54e-09	2.0100000000000003e-09	1.25e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-975	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	237.0	73.1	0	0	0	-90	20	793	This study	hargrave 2020-10-23 15:05:17	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4784	u	4	273	Yiming Zhang		3.79e-07	1.54e-09	1.89e-09	1.1199999999999999e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-976	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	236.9	72.4	0	2.9999999999999997e-05	0	-90	21	773	This study	hargrave 2020-10-25 15:55:19	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4785	u	4	273	Yiming Zhang		3.69e-07	1.4199999999999999e-09	1.6300000000000002e-09	1.2e-09
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-977	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	235.6	71.8	0	2.9999999999999997e-05	0	-90	22	793	This study	hargrave 2020-10-26 10:28:15	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4786	u	4	273	Yiming Zhang		3.570000000000001e-07	1.19e-09	1.58e-09	9.81e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-978	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	234.7	70.1	0	2.9999999999999997e-05	0	-90	23	803	This study	hargrave 2020-10-26 17:20:15	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4787	u	4	273	Yiming Zhang		3.13e-07	7.689999999999999e-10	1.4699999999999999e-09	9.58e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-979	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	237.5	72.4	0	0	0	-90	24	803	This study	hargrave 2020-10-27 10:09:06	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4788	u	4	273	Yiming Zhang		3.4e-07	7.41e-10	1.6e-09	9.32e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-980	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	237.2	72	0	0	0	-90	25	813	This study	hargrave 2020-10-27 13:08:01	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4789	u	4	273	Yiming Zhang		3.0399999999999997e-07	6.12e-10	1.09e-09	9.29e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-981	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	236.0	70.2	0	2.9999999999999997e-05	0	-90	26	793	This study	hargrave 2020-10-27 16:05:06	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4790	u	4	273	Yiming Zhang		2.79e-07	9.279999999999999e-10	9.919999999999999e-10	8.450000000000002e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-982	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	237.5	66.2	0	2.9999999999999997e-05	0	-90	27	813	This study	hargrave 2020-10-28 08:55:57	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4791	u	4	273	Yiming Zhang		2.2899999999999997e-07	7.16e-10	1.09e-09	8.54e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-983	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.5	229.7	49.9	0	2.9999999999999997e-05	0	-90	28	823	This study	hargrave 2020-10-28 12:59:28	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4792	u	4	273	Yiming Zhang		1.1e-07	4.94e-10	6.04e-10	5.99e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-984	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.3	234.5	70.8	0	0	0	-90	29	823	This study	hargrave 2020-10-28 16:20:38	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4793	u	4	273	Yiming Zhang		2.0899999999999998e-07	6.439999999999999e-10	8.67e-10	6.8e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-985	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	230.7	70.3	0	0	0	-90	30	826	This study	hargrave 2020-10-29 08:51:08	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4794	u	4	273	Yiming Zhang		1.7899999999999995e-07	3.17e-10	1.02e-09	5.510000000000001e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-986	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.5	232.2	40.5	0	2.9999999999999997e-05	0	-90	31	813	This study	hargrave 2020-10-31 09:15:08	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4795	u	4	273	Yiming Zhang		7.76e-08	2.3199999999999997e-10	4.66e-10	4.99e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-987	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.8	221.9	-24.3	0	2.9999999999999997e-05	0	-90	32	826	This study	hargrave 2020-10-31 13:06:55	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4796	u	4	273	Yiming Zhang		6e-08	7.200000000000001e-10	4.82e-10	4.91e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-988	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.5	217.3	-65	0	2.9999999999999997e-05	0	-90	33	829	This study	hargrave 2020-10-31 16:43:00	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4797	u	4	273	Yiming Zhang		9.939999999999999e-08	7.049999999999999e-10	3.78e-10	3.2199999999999997e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-989	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.6	227.1	69.3	0	0	0	-90	34	829	This study	hargrave 2020-11-01 08:41:21	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4798	u	4	273	Yiming Zhang		1.1e-07	5.820000000000001e-10	8.269999999999999e-10	3.8100000000000003e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-990	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.7	226.3	69.9	0	0	0	-90	35	832	This study	hargrave 2020-11-01 11:51:52	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4799	u	4	273	Yiming Zhang		8.619999999999999e-08	2.9499999999999996e-10	9.120000000000001e-10	3.09e-10
AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-991	AX12-8a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	AX12-8a	0.4	203.3	-80	0	2.9999999999999997e-05	0	-90	36	826	This study	hargrave 2020-11-01 14:58:19	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4800	u	4	273	Yiming Zhang		1.42e-07	9.550000000000001e-10	5.45e-10	1.9800000000000001e-10
